"flight_name","capacity","fuel","airline","manufacture_year","range_km","status"
"FL07781","380","58.78","Harris-Bartlett Airlines","2015","6004","Retiré"
"FL80602","255","61.28","Rivers-Hughes Airlines","1993","14731","Actif"
"FL63107","397","12.02","Durham, Hill and Friedman Airlines","2024","7818","Maintenance"
"FL43878","122","55.98","Thomas, Richardson and Sanchez Airlines","2020","8576","Retiré"
"FL06494","264","73.31","Baxter Ltd Airlines","2018","8766","Retiré"
"FL55285","215","16.85","Howard-Mejia Airlines","1995","14602","Maintenance"
"FL10817","277","81.08","Powell-Sampson Airlines","2020","9753","Actif"
"FL92480","292","14.87","Abbott, Hall and Miranda Airlines","2006","12642","Actif"
"FL37053","204","38.64","Ford and Sons Airlines","2011","2198","Maintenance"
"FL13863","124","23.41","Young Ltd Airlines","1991","5299","Maintenance"
"FL96140","238","60.02","Stevenson PLC Airlines","1994","2104","Actif"
"FL39624","247","68.88","Cunningham, Salazar and Hernandez Airlines","1992","5336","Actif"
"FL47111","346","42.1","Perry-Mcfarland Airlines","2011","10786","Actif"
"FL04213","383","62.92","Ellis, Randall and Davis Airlines","2024","13813","Retiré"
"FL11394","197","24.6","Reeves and Sons Airlines","1992","9428","Maintenance"
"FL14964","340","63.69","Russell, Sherman and Torres Airlines","1997","14209","Retiré"
"FL00887","395","46.95","Jones-Barker Airlines","1993","7172","Actif"
"FL33176","277","81.78","Cantu-Bennett Airlines","2007","13237","Actif"
"FL07630","133","26.7","Moore Ltd Airlines","2009","7339","Maintenance"
"FL98428","330","81.25","Newman Ltd Airlines","2021","7514","Retiré"
"FL27809","335","58.37","Pierce Inc Airlines","2021","6429","Retiré"
"FL67615","169","82.26","Daniels, Cooper and Martin Airlines","2002","11825","Retiré"
"FL97970","280","60.91","Rodriguez, Suarez and Herring Airlines","2003","5700","Actif"
"FL77109","150","25.17","Long-Reed Airlines","1998","13404","Actif"
"FL45383","248","31.5","Hood, Shepard and Bean Airlines","2022","5156","Retiré"
"FL27182","121","47.89","Garrett, Kline and Roberts Airlines","1997","12946","Maintenance"
"FL00400","163","62.32","Mclaughlin and Sons Airlines","2016","3014","Actif"
"FL62575","380","70.31","Morris-Conley Airlines","2007","13655","Retiré"
"FL60023","231","26.94","Nunez-Martin Airlines","2018","14978","Maintenance"
"FL08111","338","82.15","Mueller LLC Airlines","2012","6949","Retiré"
"FL77374","158","74.51","Martin-Roberts Airlines","2001","9750","Actif"
"FL20342","260","33.25","Hunt, Estrada and Richmond Airlines","1991","7348","Maintenance"
"FL09466","379","76.25","Young, Vargas and Bowman Airlines","1992","7735","Maintenance"
"FL09565","237","82.11","Mendoza PLC Airlines","2019","10405","Maintenance"
"FL45496","360","20.57","Tate Inc Airlines","2007","3058","Actif"
"FL80398","378","72.31","Martinez Inc Airlines","2021","10853","Maintenance"
"FL56217","301","26.17","Anderson-Freeman Airlines","2018","13343","Retiré"
"FL59221","355","85.31","Hale LLC Airlines","2011","5605","Maintenance"
"FL94179","266","65.27","Mason-Jimenez Airlines","2019","4648","Retiré"
"FL49348","109","80.38","Robinson-Ibarra Airlines","2021","13091","Retiré"
"FL45878","334","63.03","Boyle-Maynard Airlines","2020","11235","Retiré"
"FL36393","332","36.2","Ayers Group Airlines","1997","2991","Maintenance"
"FL27930","214","70.21","Ramirez-Young Airlines","2025","14249","Retiré"
"FL10700","372","26.09","Williams, Mitchell and Rogers Airlines","1991","14230","Actif"
"FL41060","165","33.95","Martin, Williams and Nguyen Airlines","1999","5185","Maintenance"
"FL36084","273","31.75","James-Fisher Airlines","2016","4357","Maintenance"
"FL32880","249","37.35","Johnson-Stewart Airlines","2020","6400","Actif"
"FL07229","203","34.94","Odonnell and Sons Airlines","1997","6582","Maintenance"
"FL31128","102","12.13","Allen Inc Airlines","2023","11417","Actif"
"FL49161","236","24.7","Riley Ltd Airlines","1997","11768","Retiré"
"FL53976","206","19.81","Marshall LLC Airlines","2023","4162","Retiré"
"FL91554","288","75.74","Blackwell, Nelson and Stevenson Airlines","2009","7538","Retiré"
"FL41816","268","67.89","Terry-Meza Airlines","2021","2889","Maintenance"
"FL80936","270","70.91","Hamilton-Potter Airlines","1996","5811","Retiré"
"FL31927","293","63.39","Garza-Hughes Airlines","1992","12715","Retiré"
"FL82907","287","51.98","Rose PLC Airlines","2002","5914","Retiré"
"FL92328","249","69.13","Hurst, Kelly and Moran Airlines","2023","11575","Maintenance"
"FL25301","279","86.48","Adams-Huerta Airlines","1996","10974","Maintenance"
"FL75804","362","54.62","Guerrero-Stewart Airlines","2008","5063","Actif"
"FL93868","100","54.23","Snow Inc Airlines","1994","4967","Maintenance"
"FL10760","268","22.05","Johnson Group Airlines","2015","5079","Retiré"
"FL97669","123","49.71","Moore Group Airlines","2010","9840","Actif"
"FL74507","224","73.58","Flores Ltd Airlines","2013","4755","Retiré"
"FL11689","244","56.39","Sanchez and Sons Airlines","1992","3870","Retiré"
"FL45502","152","55.53","Byrd-May Airlines","1992","6767","Maintenance"
"FL73758","195","50.76","Thomas-Johnson Airlines","2007","14079","Actif"
"FL44088","293","40.53","Wyatt, Francis and James Airlines","1994","11396","Maintenance"
"FL10444","392","46.34","Bush-Grimes Airlines","2009","4494","Actif"
"FL41405","284","86.85","Lewis-Williams Airlines","2012","14992","Maintenance"
"FL95896","119","48.62","Francis-Kim Airlines","2020","11020","Maintenance"
"FL59984","254","35.68","Gonzalez-Roberts Airlines","2019","9098","Actif"
"FL84491","138","96.79","Ford Group Airlines","2006","9316","Maintenance"
"FL21845","153","33.75","Summers Inc Airlines","1999","10776","Retiré"
"FL25083","320","12.97","Moss, Carter and Raymond Airlines","2012","10423","Maintenance"
"FL03453","222","13.86","Morales-Smith Airlines","2024","14811","Maintenance"
"FL36036","143","27.81","Hawkins, Sanders and Benitez Airlines","2009","11275","Actif"
"FL69547","360","13.18","Spencer LLC Airlines","2021","9938","Retiré"
"FL88617","179","81.97","Morris PLC Airlines","2021","12656","Actif"
"FL69693","339","85.33","Steele-Wright Airlines","2013","2897","Maintenance"
"FL84257","360","17.58","Nielsen, Sims and Medina Airlines","1993","2136","Actif"
"FL64137","236","13.61","Blake-Parks Airlines","2015","10302","Retiré"
"FL77938","376","79.42","Benton and Sons Airlines","2023","7795","Actif"
"FL46556","235","95.85","Nash PLC Airlines","2016","11464","Actif"
"FL71920","341","87.19","Anderson LLC Airlines","2023","9613","Retiré"
"FL27895","302","62.22","Ortiz-Petersen Airlines","2001","2172","Actif"
"FL44531","396","48.86","Lin-Phillips Airlines","2020","13101","Actif"
"FL07456","305","90.55","Black-Kelly Airlines","1997","3559","Maintenance"
"FL48452","347","34.32","Martin PLC Airlines","2010","9617","Maintenance"
"FL35715","199","68.64","Davis-Greene Airlines","2008","14013","Retiré"
"FL73375","117","17.66","Nichols, Holmes and Buchanan Airlines","2009","9319","Retiré"
"FL26016","301","51.56","Chandler, Harris and Campbell Airlines","1996","10233","Retiré"
"FL44645","257","61.37","Vargas-Singleton Airlines","2001","2969","Retiré"
"FL00323","198","65.98","Burns-Mcdaniel Airlines","2001","6424","Retiré"
"FL52096","310","44.09","Holden and Sons Airlines","1999","5631","Actif"
"FL86380","171","93.03","Douglas, Smith and Perkins Airlines","2018","10176","Retiré"
"FL48286","256","70.4","Williams, Wilcox and Wu Airlines","2024","10279","Maintenance"
"FL56306","345","26.01","Le-Morales Airlines","2007","13393","Maintenance"
"FL63736","282","40.11","Shaw, Le and Williams Airlines","1997","5513","Maintenance"
"FL41226","302","98.62","Stewart-Cruz Airlines","1991","12551","Maintenance"
"FL86430","202","12.17","Callahan-Moore Airlines","2022","13588","Maintenance"
"FL50170","150","45.81","Ingram-King Airlines","2007","4279","Maintenance"
"FL20425","115","62.47","Hampton-Anthony Airlines","2000","9278","Retiré"
"FL38091","202","73.98","Franklin and Sons Airlines","2005","14144","Retiré"
"FL55143","194","49.07","Hughes LLC Airlines","2010","7208","Actif"
"FL24913","134","26.35","Campbell-Stewart Airlines","2009","14423","Maintenance"
"FL15934","380","30.33","Davies-Pittman Airlines","1996","8205","Actif"
"FL29035","244","98.07","Wright PLC Airlines","1996","13169","Actif"
"FL24004","155","37.95","Wallace Inc Airlines","2001","11640","Maintenance"
"FL58235","333","73.23","Moore Group Airlines","2000","12159","Retiré"
"FL44981","399","45.1","Franco-Allen Airlines","2006","10236","Maintenance"
"FL23174","107","57.57","Kramer, Mason and Griffin Airlines","2010","4086","Retiré"
"FL95528","296","62.34","Shannon Inc Airlines","2014","6533","Retiré"
"FL30593","272","53.23","Baker, Moore and Bates Airlines","2013","7909","Maintenance"
"FL17124","278","64.73","Morgan, Knapp and Wells Airlines","2019","5415","Retiré"
"FL43997","244","90.31","Jackson, Johnson and Thomas Airlines","2020","4344","Retiré"
"FL81508","313","47.56","Rivera, Lopez and Sanders Airlines","1991","4878","Retiré"
"FL81356","243","46.72","Sanchez, Thomas and Santiago Airlines","2025","3996","Retiré"
"FL31105","330","47.42","Neal-Brown Airlines","2023","2259","Actif"
"FL40059","195","72.3","Baker, Cooke and Hobbs Airlines","2010","10791","Maintenance"
"FL86806","355","76.66","Day, Perry and Smith Airlines","2004","11491","Maintenance"
"FL14204","111","19.64","Miller Inc Airlines","2022","6923","Retiré"
"FL85946","157","14.38","Campbell Group Airlines","2010","10158","Actif"
"FL39244","199","83.77","Atkinson-Sanders Airlines","2012","13784","Actif"
"FL16007","318","71.41","Harvey-Walker Airlines","2015","10516","Actif"
"FL09572","239","76.21","Norman-Douglas Airlines","2003","12778","Maintenance"
"FL30434","148","93.77","Bryant Inc Airlines","2013","11383","Maintenance"
"FL58029","310","22.6","Reed-Ford Airlines","2012","6821","Maintenance"
"FL62871","189","18.19","Thompson, Kim and Wilson Airlines","1990","4450","Retiré"
"FL47744","287","60.91","Navarro and Sons Airlines","2011","7282","Actif"
"FL52105","312","85.65","Tucker Inc Airlines","2017","10990","Maintenance"
"FL47808","347","24.22","Kelly Ltd Airlines","2005","3636","Retiré"
"FL85222","225","78.12","Benitez PLC Airlines","2019","11379","Maintenance"
"FL02260","305","69.78","Levine-Shah Airlines","2022","5055","Maintenance"
"FL50287","353","74.29","Palmer, Bell and Whitehead Airlines","2000","10296","Actif"
"FL41658","382","55.84","Hill-Gray Airlines","2007","10563","Actif"
"FL47874","168","84.87","Sandoval, Sexton and Mills Airlines","2019","3967","Actif"
"FL75902","233","90.52","Lee-Smith Airlines","2025","9055","Maintenance"
"FL67508","234","64.04","Nielsen, White and Becker Airlines","2006","9948","Retiré"
"FL46014","126","25.14","Collins PLC Airlines","2004","3136","Maintenance"
"FL23469","160","15.52","Escobar and Sons Airlines","2018","5823","Retiré"
"FL76259","149","40.15","Valenzuela Inc Airlines","1993","5564","Maintenance"
"FL90921","128","95.47","White, Moreno and Leonard Airlines","1992","9006","Retiré"
"FL07377","177","82.73","Lee, Collins and Wheeler Airlines","1997","8853","Actif"
"FL56618","347","57.24","Copeland LLC Airlines","2017","10323","Retiré"
"FL09417","101","67.44","James Ltd Airlines","2011","4656","Maintenance"
"FL49928","394","49.76","Ewing, Mcguire and Martinez Airlines","1996","11131","Actif"
"FL85231","354","16.96","Wright LLC Airlines","1993","5184","Retiré"
"FL65915","246","88.68","Hall-Little Airlines","1991","5876","Retiré"
"FL29457","105","41.85","Gomez Inc Airlines","2005","12230","Actif"
"FL85344","319","77.83","Walker and Sons Airlines","1997","3449","Actif"
"FL58023","183","45.62","Ramirez, Knight and Bell Airlines","2005","12344","Retiré"
"FL09739","135","16.78","Huynh, Christensen and Anderson Airlines","1991","5519","Maintenance"
"FL80987","295","95.47","Booth, Lewis and Davis Airlines","2005","13058","Actif"
"FL82297","334","44.55","Baker, Jackson and Park Airlines","2015","14292","Maintenance"
"FL32248","279","64.53","Wilson-Washington Airlines","2024","2121","Retiré"
"FL52033","308","87.64","Levine, Kirk and Robinson Airlines","2005","14648","Retiré"
"FL61772","190","23.37","Osborne-Collins Airlines","2014","2159","Maintenance"
"FL51697","329","14.19","Dunn, Love and Duncan Airlines","2007","10088","Actif"
"FL31468","379","40.98","Myers PLC Airlines","1999","10509","Actif"
"FL63907","342","60.02","Holt, Roberts and Fischer Airlines","2011","4983","Actif"
"FL77759","115","89.3","Anthony, Dean and Pena Airlines","2005","9031","Maintenance"
"FL60407","131","92.45","Curry-Poole Airlines","2019","10908","Actif"
"FL93732","318","78.17","Hall-Taylor Airlines","2011","9365","Maintenance"
"FL15695","233","53.58","Wells-Wade Airlines","2021","3149","Actif"
"FL59140","268","67.18","Rodgers, Perry and Hayes Airlines","2014","6017","Actif"
"FL95784","199","59.34","Rose-Turner Airlines","2003","8034","Actif"
"FL18682","107","20.47","Grimes, Atkins and Lewis Airlines","1996","4639","Maintenance"
"FL03183","332","37.91","Owens LLC Airlines","2020","3048","Actif"
"FL50912","383","76.68","Torres LLC Airlines","2000","2554","Actif"
"FL49301","143","86.37","Lucas, Cook and Savage Airlines","1996","14188","Maintenance"
"FL41279","121","69.17","Hurst, Simmons and Bryant Airlines","2024","9976","Actif"
"FL40845","283","97.8","Smith Inc Airlines","1991","12062","Retiré"
"FL24205","285","54.12","Gray-Gomez Airlines","1990","3733","Actif"
"FL20567","314","22.61","Rowe, Woods and Hurley Airlines","2025","2795","Actif"
"FL05197","384","33.8","Robles Inc Airlines","2003","13599","Maintenance"
"FL49794","148","66.21","Marsh, Silva and Morris Airlines","1995","3571","Maintenance"
"FL27467","121","89.16","Moran-Owens Airlines","1994","9698","Maintenance"
"FL36672","273","39.26","Baker PLC Airlines","1995","12642","Actif"
"FL31264","234","86.75","Hill-Parker Airlines","2009","10512","Maintenance"
"FL66124","133","80.79","Hahn-Johnson Airlines","1993","4047","Maintenance"
"FL65643","242","84.96","Anderson Group Airlines","1996","3856","Actif"
"FL05326","357","58.76","Roy-Nolan Airlines","1994","2667","Actif"
"FL40257","291","37.04","King, Ortiz and Riggs Airlines","2024","3004","Maintenance"
"FL29495","194","54.3","Rangel Group Airlines","2019","4658","Maintenance"
"FL69650","294","99.34","Johnson-Payne Airlines","2004","7538","Actif"
"FL83081","180","88.24","Savage, Mendoza and Thompson Airlines","2018","10854","Retiré"
"FL60956","331","71.24","Navarro, Quinn and Mills Airlines","2005","12896","Actif"
"FL41603","330","84.65","Brown Ltd Airlines","2021","5632","Maintenance"
"FL10735","291","71.26","Davis LLC Airlines","2015","12417","Retiré"
"FL93752","249","91.86","Smith-Hernandez Airlines","1999","8382","Maintenance"
"FL63561","246","30.18","Fletcher Group Airlines","1996","11247","Retiré"
"FL87765","172","81.1","Rodgers PLC Airlines","2008","10017","Retiré"
"FL25668","278","36.89","Williams LLC Airlines","1995","13983","Retiré"
"FL93155","101","73.33","Drake, Norris and Carpenter Airlines","2008","14082","Retiré"
"FL56230","389","72.59","Cox-Shaw Airlines","2018","9678","Actif"
"FL15528","321","97.6","Perez, Garcia and Jensen Airlines","1996","10525","Maintenance"
"FL28669","315","81.63","James, Stanley and Holt Airlines","2017","3444","Maintenance"
"FL04007","185","58.46","Perez, Casey and White Airlines","1995","3824","Retiré"
"FL72829","333","94.08","Vaughn-Noble Airlines","2023","13412","Retiré"
"FL42558","109","46.72","Williams, Pena and Nixon Airlines","2003","12978","Retiré"
"FL21755","105","65.28","Smith, Sanchez and Carr Airlines","2000","10258","Maintenance"
"FL34146","309","95.47","Alvarez, Rice and Hamilton Airlines","2000","3723","Actif"
"FL22279","348","59.71","Johnson Group Airlines","2010","3860","Actif"
"FL84503","373","13.55","Olson, Fleming and Weaver Airlines","2007","6807","Maintenance"
"FL60951","127","82.07","Ross, Walton and Torres Airlines","2003","3809","Maintenance"
"FL12926","194","51.16","Hernandez, Blankenship and Underwood Airlines","2001","14461","Retiré"
"FL62623","172","49.08","Fitzgerald-Jones Airlines","2010","8121","Retiré"
"FL65426","195","12.12","Bell, Jacobs and Pope Airlines","2017","5772","Retiré"
"FL03224","267","13.89","Rivera Group Airlines","2010","14134","Retiré"
"FL47880","366","54.67","Simpson-Petty Airlines","2023","4359","Maintenance"
"FL72174","175","84.37","Hernandez-Wong Airlines","1999","4145","Maintenance"
"FL13804","196","36.51","Gutierrez, Schmidt and Williams Airlines","2000","14322","Maintenance"
"FL52918","353","32.66","Cox-Jones Airlines","2000","4691","Maintenance"
"FL69822","381","18.59","Walter-Long Airlines","1995","2940","Retiré"
"FL66206","337","76.23","Shelton, Jones and Johnson Airlines","2025","8934","Maintenance"
"FL71303","322","64.26","Graham-Strong Airlines","2022","7597","Actif"
"FL69176","346","67.54","Carroll-Oconnor Airlines","2008","12513","Actif"
"FL26597","390","38.69","Werner-Ortega Airlines","2024","5610","Maintenance"
"FL10029","110","37.69","Kelly-Chung Airlines","1995","14872","Retiré"
"FL19687","335","50.67","Thomas-Sutton Airlines","1996","2750","Maintenance"
"FL91300","392","58.36","Anderson, Hansen and White Airlines","2006","14602","Retiré"
"FL19127","286","87.35","Hill Group Airlines","1996","3091","Maintenance"
"FL33615","274","23.83","Blake-Ortega Airlines","2024","14417","Maintenance"
"FL87657","211","38.81","Clark Group Airlines","2010","5263","Retiré"
"FL30745","246","81.63","Montoya Inc Airlines","2009","10396","Actif"
"FL88990","394","16.64","Miller-Gregory Airlines","2007","3116","Retiré"
"FL47884","241","57.3","Turner and Sons Airlines","2022","11825","Maintenance"
"FL29975","134","68.21","Hamilton-Howard Airlines","2015","8968","Actif"
"FL58358","389","53.55","Norris, Norton and Smith Airlines","1990","3886","Retiré"
"FL19742","302","29.72","White Group Airlines","2003","4601","Maintenance"
"FL44900","373","58.85","Smith-Wilson Airlines","1992","9464","Maintenance"
"FL34376","334","20.97","Lopez, Walters and Pittman Airlines","1994","5875","Actif"
"FL10538","317","13.7","Smith Group Airlines","2000","11042","Retiré"
"FL54857","323","24.04","James Group Airlines","2022","13494","Maintenance"
"FL83856","236","15.5","Wilkins, Miller and Ortiz Airlines","2003","14523","Actif"
"FL04309","265","62.9","Jenkins-Myers Airlines","1997","11783","Retiré"
"FL13576","362","25.6","Torres, Diaz and Abbott Airlines","1993","3567","Maintenance"
"FL46850","283","76.84","Vasquez, Tucker and Baker Airlines","1996","7355","Maintenance"
"FL94266","317","72.36","Mitchell Group Airlines","1990","5708","Actif"
"FL64879","324","18.45","Butler and Sons Airlines","2024","6692","Retiré"
"FL03919","239","67.14","Long PLC Airlines","2010","12489","Maintenance"
"FL74416","240","52.79","Scott LLC Airlines","2022","8232","Actif"
"FL20347","246","34.08","Robinson Inc Airlines","2005","10823","Maintenance"
"FL87957","326","85.25","Nunez Inc Airlines","2002","8320","Retiré"
"FL82095","117","52.66","Brown-Young Airlines","1999","9191","Actif"
"FL21175","127","87.13","Lane, Fisher and Wright Airlines","2023","2828","Retiré"
"FL21189","336","73.64","Graham, Weaver and Hernandez Airlines","1994","3710","Retiré"
"FL84639","149","43.56","Gardner-Lopez Airlines","2022","8853","Maintenance"
"FL07746","385","63.13","Wright-Taylor Airlines","2023","4104","Actif"
"FL25114","169","82.72","Bryant PLC Airlines","2020","9929","Retiré"
"FL14202","261","36.19","Brown-Frey Airlines","2005","3884","Retiré"
"FL53831","124","50.0","Pope-Hartman Airlines","2001","7662","Retiré"
"FL62090","386","48.62","Warren-Ferguson Airlines","2014","2530","Maintenance"
"FL88816","112","66.23","Duncan Ltd Airlines","2009","7250","Actif"
"FL98579","175","72.51","Molina and Sons Airlines","2004","12712","Actif"
"FL77502","249","39.06","Williams LLC Airlines","1999","2530","Maintenance"
"FL28849","268","90.55","Ruiz, Bailey and Bailey Airlines","2003","3033","Maintenance"
"FL66881","360","10.7","Miller Ltd Airlines","2014","6802","Retiré"
"FL98394","394","66.83","Green-Davis Airlines","2002","2879","Maintenance"
"FL55999","285","31.23","Martinez Ltd Airlines","2000","11713","Actif"
"FL58115","129","14.44","Hunt-Gilbert Airlines","2016","14560","Maintenance"
"FL76632","121","81.18","White-Rodgers Airlines","1993","12178","Maintenance"
"FL78620","196","81.65","Graham-Stokes Airlines","2010","9281","Retiré"
"FL93973","263","80.36","Ibarra-Moore Airlines","1999","7153","Retiré"
"FL56843","269","48.48","Mata-Wright Airlines","2006","11842","Maintenance"
"FL52085","218","20.75","Jones-Browning Airlines","2005","12241","Actif"
"FL34688","230","53.08","Stewart Inc Airlines","2020","13621","Maintenance"
"FL08626","297","47.9","Gates, Crane and House Airlines","2006","12128","Maintenance"
"FL21877","214","98.46","Terry, Johnson and Little Airlines","2004","9429","Actif"
"FL68546","322","97.89","White, Roberts and Romero Airlines","2025","14253","Maintenance"
"FL90928","340","27.22","Wood, Payne and Johnson Airlines","2014","13758","Actif"
"FL06645","323","79.43","Dennis PLC Airlines","2004","8381","Actif"
"FL31252","245","19.87","Sandoval, Baker and Lynch Airlines","2012","3444","Retiré"
"FL01730","169","33.29","Jones, Ramirez and Howe Airlines","2011","3644","Retiré"
"FL50964","266","39.76","Meyer, Scott and Snow Airlines","2002","6670","Actif"
"FL80355","380","70.4","Griffith, Jones and Golden Airlines","2021","10667","Actif"
"FL18697","318","93.66","White-Parker Airlines","1993","14110","Maintenance"
"FL48625","122","32.28","Perez Group Airlines","1993","3267","Retiré"
"FL08706","243","90.24","Drake-Hill Airlines","1990","3838","Retiré"
"FL30208","211","11.7","Ryan PLC Airlines","2006","11936","Retiré"
"FL54577","163","95.04","Franklin-Bradley Airlines","1992","11633","Actif"
"FL19244","140","35.38","Giles Inc Airlines","1995","11781","Actif"
"FL55575","157","57.57","Stephens, Boyd and Aguilar Airlines","2016","5480","Actif"
"FL33211","363","19.21","Casey and Sons Airlines","2002","12946","Retiré"
"FL44007","396","12.99","Ferguson Group Airlines","1994","11138","Retiré"
"FL84053","325","66.97","Fischer, White and Bradford Airlines","2017","2900","Retiré"
"FL25551","238","25.06","Mays, Decker and Moore Airlines","2005","5025","Retiré"
"FL94618","373","93.4","Williams-Taylor Airlines","2018","14277","Actif"
"FL22573","285","75.43","Foster-Davis Airlines","1990","5771","Maintenance"
"FL82013","346","67.92","Lewis PLC Airlines","2005","11091","Actif"
"FL77394","205","56.42","Kelley-Hayes Airlines","1996","10101","Retiré"
"FL96543","238","30.64","Phillips, Jordan and Ferguson Airlines","2022","9763","Maintenance"
"FL09008","109","56.19","Arnold-Moore Airlines","1996","8664","Maintenance"
"FL75465","255","74.87","Garcia, Deleon and Smith Airlines","1999","3842","Maintenance"
"FL26257","373","46.73","Hernandez-Brown Airlines","1992","5220","Actif"
"FL14578","376","26.83","Tate, Diaz and Khan Airlines","2005","2160","Actif"
"FL73748","337","85.18","Gomez-Peterson Airlines","2013","11745","Actif"
"FL11148","265","98.15","Wood Ltd Airlines","2002","5355","Maintenance"
"FL06186","396","99.96","Velasquez, Hart and Carter Airlines","2011","7036","Retiré"
"FL59413","149","15.85","Graham-Richardson Airlines","1999","7179","Retiré"
"FL42876","338","13.27","Wilson Group Airlines","2000","7464","Actif"
"FL71930","343","86.66","Hanson, Perez and Pierce Airlines","2001","9871","Actif"
"FL87675","117","55.54","Flores Group Airlines","2023","8099","Retiré"
"FL99318","145","47.13","Marshall, Ortega and Dixon Airlines","2025","12509","Retiré"
"FL51531","320","36.74","Miller and Sons Airlines","1998","13107","Actif"
"FL64387","220","32.37","Nguyen-Norris Airlines","2010","8527","Maintenance"
"FL32544","254","99.57","Berry-Jennings Airlines","2019","9003","Actif"
"FL03098","367","37.73","Rios, Lamb and Mccoy Airlines","2007","9634","Retiré"
"FL16006","237","21.93","Hoffman, Smith and Huber Airlines","2008","11745","Maintenance"
"FL08747","118","98.95","Lang PLC Airlines","2022","11999","Retiré"
"FL85797","157","73.68","Woods Inc Airlines","2018","4778","Retiré"
"FL61541","256","19.81","Lewis PLC Airlines","1998","2550","Maintenance"
"FL67487","376","74.42","Butler-Davis Airlines","1994","6870","Maintenance"
"FL42967","206","74.49","Cannon Inc Airlines","2007","8106","Retiré"
"FL36343","313","21.89","Richards-Nguyen Airlines","2011","5532","Actif"
"FL13535","114","40.14","Mccarthy and Sons Airlines","2016","4570","Retiré"
"FL27211","272","55.43","Robinson, Jensen and Leach Airlines","2015","14315","Maintenance"
"FL47762","306","80.95","Brock and Sons Airlines","2020","14429","Retiré"
"FL22388","232","10.76","Davis, Torres and Long Airlines","2008","2855","Retiré"
"FL82417","134","69.62","Skinner Ltd Airlines","1994","14743","Retiré"
"FL52227","180","23.49","Martinez, Mcclain and Hicks Airlines","2007","8624","Retiré"
"FL68497","102","57.69","Williams-Wilson Airlines","1996","2186","Maintenance"
"FL18492","398","45.27","Griffin-Rhodes Airlines","2003","11063","Retiré"
"FL57301","250","55.07","Jackson-Thompson Airlines","2008","13887","Actif"
"FL81305","354","21.3","Schneider Group Airlines","2009","3166","Actif"
"FL49623","306","61.77","Brown Inc Airlines","2004","2016","Maintenance"
"FL99184","200","45.43","Hoffman Ltd Airlines","2025","7807","Actif"
"FL69076","119","13.66","Martin-Perez Airlines","2024","7051","Retiré"
"FL02904","179","48.42","Smith, Boyle and Ward Airlines","2019","3666","Maintenance"
"FL28561","376","38.01","Rodriguez PLC Airlines","2004","12332","Retiré"
"FL55688","314","57.18","Murray Inc Airlines","1999","4316","Maintenance"
"FL65082","113","36.69","Lawson Ltd Airlines","2003","11991","Actif"
"FL95251","371","51.22","Weber-Jenkins Airlines","2018","7669","Maintenance"
"FL32606","348","12.21","Johnson Group Airlines","2005","14642","Retiré"
"FL82474","350","20.88","Stephenson, Gray and Hunt Airlines","2004","5784","Actif"
"FL04742","268","15.3","Farrell PLC Airlines","2000","13000","Actif"
"FL16998","192","32.2","Hernandez, Brooks and Sanchez Airlines","2025","9619","Actif"
"FL09816","245","99.45","Bonilla-Andrews Airlines","2012","14140","Retiré"
"FL03133","235","12.39","Davis-Schneider Airlines","2024","4922","Actif"
"FL51307","262","46.13","Morgan, Blackburn and Smith Airlines","2004","6922","Actif"
"FL65618","127","23.71","Brown, Conway and Davis Airlines","1992","13969","Retiré"
"FL16235","269","64.78","Sanchez PLC Airlines","1999","4103","Retiré"
"FL94920","217","18.15","Bennett Ltd Airlines","2024","4186","Maintenance"
"FL23899","363","37.62","Reynolds, Coffey and Morton Airlines","2014","6649","Maintenance"
"FL94200","367","22.7","Robinson, Hughes and Ward Airlines","2001","2596","Actif"
"FL43653","102","41.1","Fowler-Floyd Airlines","2022","4288","Retiré"
"FL10684","123","35.88","Johnson, Simmons and Williamson Airlines","2007","11009","Retiré"
"FL14306","241","97.72","Williams LLC Airlines","1996","13286","Actif"
"FL65581","228","16.22","Mills, Reyes and Vaughan Airlines","2015","13281","Retiré"
"FL86247","120","63.08","Marshall LLC Airlines","1990","2699","Maintenance"
"FL89185","124","81.21","Li, Fry and Mclaughlin Airlines","2011","14411","Maintenance"
"FL97664","209","93.78","Thomas and Sons Airlines","2021","8386","Maintenance"
"FL13345","246","22.34","Lloyd-Murray Airlines","1999","6897","Actif"
"FL45878","370","32.86","Nguyen, Ross and Cooper Airlines","2000","2705","Retiré"
"FL02690","190","79.93","Copeland-Jones Airlines","2004","4362","Maintenance"
"FL21327","311","19.71","Mason-Chan Airlines","1994","13063","Retiré"
"FL11615","354","72.41","Lawson Ltd Airlines","2011","10054","Retiré"
"FL57879","220","22.01","French Ltd Airlines","2005","9578","Maintenance"
"FL00346","333","23.95","Smith, Johnson and Mccann Airlines","1992","8893","Maintenance"
"FL65808","144","90.98","Cline-Parks Airlines","2023","9992","Actif"
"FL76544","288","44.28","Hayes-Cook Airlines","1994","10069","Actif"
"FL64466","365","58.87","Hayes, Thomas and Mcgee Airlines","2004","6270","Maintenance"
"FL15013","176","30.8","Love-Morris Airlines","2015","7567","Maintenance"
"FL73432","121","24.85","Salazar-Patton Airlines","2012","3758","Actif"
"FL98019","184","26.69","Spencer, Lee and Peterson Airlines","2016","3929","Actif"
